,name,meal time,main ingredients,Cleaned_Ingredients,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_c_mg,folate_mcg,thiamin_mg,cuisine,Quantities,Units,Ingredients,image_url
26,Delicious Baked Chicken Kiev,lunch,"corn flake cereal,chicken,buttermilk","butter,parsley,corn flake cereal,paprika,salt,chicken",https://www.allrecipes.com/recipe/50331/delicious-baked-chicken-kiev/,meat-and-poultry,Jessica,"This is the BEST! I was raised on this, and it is the best chicken Kiev you'll ever have. After you make it a few times it's a snap. I do this by memory. You can adjust the flavors to taste. This recipe tastes great as leftovers also!",4.18,115,89,"¼ cup butter, softened ; ⅛ teaspoon garlic powder ; 1 tablespoon chopped fresh parsley ; 5 cups honey-sweetened corn flake cereal ; 3 tablespoons chopped fresh parsley ; 1 ½ teaspoons garlic powder ; 1 teaspoon paprika ; 1 teaspoon salt ; 6  skinless, boneless chicken breast halves - pounded to 1/4 inch thickness ; ¼ cup buttermilk","In a small bowl, stir together the butter, 1/8 teaspoon garlic powder, and 1 tablespoon of parsley. Spread the butter mixture 1/2 inch thick onto a piece of aluminum foil, and place in the freezer to harden. Place the cereal in a large plastic resealable bag, and crush with a rolling pin. Add the remaining parsley, 1 1/2 teaspoons garlic powder, paprika and salt, seal the bag, and shake to mix. Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x13 inch baking dish. Remove the slab of butter mixture from the freezer, and slice into 6 strips. Place one strip onto the center of each pounded chicken breast, roll up and secure with toothpicks. Dip rolled chicken breasts into buttermilk, then into the cereal mixture. Place coated breasts into the prepared baking dish. Bake, uncovered, for 30 to 40 minutes until chicken is no longer pink, and the juices run clear. The outside should be crispy and golden.",25 mins,35 mins,1 hr,6,6 servings,330,30,13,9,5,89,29,1,820,86,32,6,42,379,1508,24,21,120,0,Middle East,"[0.25, 0.125, 1.0, 5.0, 3.0, 1.25, 1.0, 1.0, 6.0, 0.25]","['cup', ' teaspoon', ' tablespoon', ' cups', ' tablespoons', ' teaspoons', ' teaspoon', ' teaspoon', ' no unit', ' cup']","['butter, softened', ' garlic powder', ' chopped fresh parsley', ' honey-sweetened corn flake cereal', ' chopped fresh parsley', ' garlic powder', ' paprika', ' salt', ' skinless, boneless chicken breast halves - pounded to 1/4 inch thickness', ' buttermilk']",AAA
27,Chicken Hurry,lunch,"ketchup,chicken","chicken,ketchup,brown sugar,onion",https://www.allrecipes.com/recipe/8896/chicken-hurry/,meat-and-poultry,MOM2112,"This is a quick and easy dish to make. Great for potlucks, family dinners, or cold the next day with salad for a picnic. This sauce is also great on pork spare ribs. Serve hot with rice and salad.",4.2,312,243,"1 (3 pound) whole chicken, cut into pieces ; ½ cup ketchup ; ¼ cup water ; ¼ cup packed brown sugar ; 1 (1 ounce) package dry onion soup mix","Preheat oven to 350 degrees F (175 degrees C). Place chicken pieces in a single layer in a lightly greased 9x13 inch baking dish. In a medium bowl, combine the ketchup, water, brown sugar and dry soup mix. Carefully pour over the chicken, making sure that all of the pieces are covered. Cover dish and bake in the preheated oven for 1 hour.",10 mins,1 hr,1 hr 10 mins,6,6 servings,554,16,13,34,9,170,42,0,796,309,46,2,50,517,504,23,7,15,0,Middle East,"[1.0, 0.5, 0.25, 0.25, 1.0]","['no unit', ' cup', ' cup', ' cup', ' package']","['whole chicken, cut into pieces', ' ketchup', ' water', ' packed brown sugar', ' dry onion soup mix']",AAA
28,Perfect Turkey,lunch,"white wine,celery,carrot","salt,butter,onion,carrot,celery,thyme,bay leaf,white wine",https://www.allrecipes.com/recipe/43655/perfect-turkey/,meat-and-poultry,Shelly White,"A perfectly seasoned and juicy turkey. My friend from France taught me to cook turkey like this, but she never measures anything so use your own judgment for vegetable amounts, etc. I usually err on the side of 'more is better'!",4.82,1753,1291,"1 (18 pound) whole turkey, neck and giblets removed ; 2 cups kosher salt ; ½ cup butter, melted ; 2 large onions, peeled and chopped ; 4  carrots, peeled and chopped ; 4 stalks celery, chopped ; 2 sprigs fresh thyme ; 1  bay leaf ; 1 cup dry white wine","Rub the turkey inside and out with the kosher salt. Place the bird in a large stock pot, and cover with cold water. Place in the refrigerator, and allow the turkey to soak in the salt and water mixture 12 hours, or overnight. Preheat oven to 350 degrees F (175 degrees C). Thoroughly rinse the turkey, and discard the brine mixture. Brush the turkey with 1/2 the melted butter. Place breast side down on a roasting rack in a shallow roasting pan. Stuff the turkey cavity with 1 onion, 1/2 the carrots, 1/2 the celery, 1 sprig of thyme, and the bay leaf. Scatter the remaining vegetables and thyme around the bottom of the roasting pan, and cover with the white wine. Roast uncovered 3 1/2 to 4 hours in the preheated oven, until the internal temperature of the thigh reaches 180 degrees F (85 degrees C). Carefully turn the turkey breast side up about 2/3 through the roasting time, and brush with the remaining butter. Allow the bird to stand about 30 minutes before carving.",30 mins,4 hrs,17 hrs,24,1 (18 pound) turkey,593,1,0,31,10,241,69,0,7846,0,58,4,78,950,170,26,1,32,0,Middle East,"[1.0, 2.0, 0.5, 2.0, 4.0, 4.0, 2.0, 1.0, 1.0]","['no unit', ' cups', ' cup', ' no unit', ' no unit', ' no unit', ' no unit', ' no unit', ' cup']","['whole turkey, neck and giblets removed', ' kosher salt', ' butter, melted', ' large onions, peeled and chopped', ' carrots, peeled and chopped', ' stalks celery, chopped', ' sprigs fresh thyme', ' bay leaf', ' dry white wine']",AAA
29,Lemon Chicken Tenders,lunch,"bread ,egg,chicken","paprika,salt ,chicken,egg,bread crumb,sugar,lemon juice,curry",https://www.allrecipes.com/recipe/89590/lemon-chicken-tenders/,meat-and-poultry,J. Roderick,"This a great recipe that my family loves. It's fairly quick and easy, and you more than likely don't have to go out and buy any new ingredients!",4.1,352,254,"½ teaspoon paprika ; ½ teaspoon salt ; ¼ teaspoon pepper ; 3 large boneless, skinless chicken breasts, cut into 2-inch pieces ; 2  eggs, slightly beaten ; 1 cup Italian seasoned bread crumbs ; ½ cup sugar ; ½ cup lemon juice ; 1 ½ teaspoons curry powder","Preheat oven to 400 degrees F (200 degrees C). In a bowl, stir together paprika, salt, and pepper. Sprinkle seasoning over chicken pieces. Dip pieces in egg, then dredge in bread crumbs. Arrange chicken pieces in a single layer in an aluminum foil-lined 15x10-inch jelly roll pan. Bake in preheated oven for 15 minutes, turning once. In a small saucepan over medium-low heat, stir together sugar, lemon juice, and curry powder, stirring until sugar dissolves, about 5 minutes. Drizzle lemon sauce over chicken, return to oven, and bake 5 minutes more.",15 mins,20 mins,35 mins,4,4 servings,441,48,27,6,1,191,46,1,867,56,79,3,55,526,321,27,16,24,0,Middle East,"[0.5, 0.5, 0.25, 3.0, 2.0, 1.0, 0.5, 0.5, 1.5]","['teaspoon', ' teaspoon', ' teaspoon', ' no unit', ' no unit', ' cup', ' cup', ' cup', ' teaspoons']","['paprika', ' salt', ' pepper', ' large boneless, skinless chicken breasts, cut into 2-inch pieces', ' eggs, slightly beaten', ' Italian seasoned bread crumbs', ' sugar', ' lemon juice', ' curry powder']",AAA
30,Original Steak Tartare,dinner,"brandy,Worcestershire sauce,beef","beef,brown mustard,pepper sauce,Worcestershire sauce,brandy,salt,white pepper,egg",https://www.allrecipes.com/recipe/60315/original-steak-tartare/,meat-and-poultry,ITSIE,"The legend goes that Tartare tribes when fighting in the past didn't even have time to stop and cook their food. They are said to have kept the meat underneath their saddles and mince it in this way. Today this dish is a gourmet classic. This dish is eaten like a pate, spread on a piece of warm toast with fresh tomato and onion rings on top. It is very important though to make sure that both the meat and the egg are very fresh because they are eaten raw.",4.62,13,13,"1 pound finely ground beef tenderloin ; 1 teaspoon brown mustard ; ½ teaspoon hot pepper sauce (e.g. Tabasco™), or to taste ; 1 teaspoon Worcestershire sauce ; 1 teaspoon brandy ; 1 pinch salt, or to taste ;   ground white pepper to taste ; 1  egg","In a medium bowl, mix together the beef, mustard, hot pepper sauce, Worcestershire sauce, brandy, salt, pepper and egg until well blended. Arrange the meat in a neat pile on a glass dish, and cover with aluminum foil. Refrigerate for 30 minutes to allow the flavors to blend. Serve as a spread on crackers or toast.",10 mins,30 mins,40 mins,6,6 servings,230,0,0,18,7,84,14,0,72,164,11,2,16,242,47,5,0,8,0,Middle East,"[1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 0.0, 1.0]","['pound', ' teaspoon', ' teaspoon', ' teaspoon', ' teaspoon', ' pinch', ' no unit', ' no unit']","['finely ground beef tenderloin', ' brown mustard', ' hot pepper sauce (e.g. Tabasco™), or to taste', ' Worcestershire sauce', ' brandy', ' salt, or to taste', ' ground white pepper to taste', ' egg']",AAA
31,Best Peach Cobbler Ever,"lunch,dinner","flour,milk,cornstarch,peache","peache,butter, cinnamon,nutmeg,cornstarch,milk,white sugar,flour,baking powder,salt",https://www.allrecipes.com/recipe/12320/best-peach-cobbler-ever/,desserts,J. Saunders,This is a very moist cobbler - easy to make and delicious to eat!,4.22,368,283,"1 (29 ounce) can sliced peaches ; 2 tablespoons butter, melted ; 1 pinch ground cinnamon ; 1 pinch ground nutmeg ; 1 tablespoon cornstarch ; ½ cup water ; 1 cup milk ; 1 cup white sugar ; 1 cup all-purpose flour ; 2 teaspoons baking powder ; 1 pinch salt ; ½ cup butter ; 1 teaspoon ground cinnamon ; ¼ teaspoon ground nutmeg","Preheat oven to 350 degrees F (175 degrees C.) In a large bowl, combine sliced peaches with juice, 2 tablespoons melted butter, a pinch of cinnamon and a pinch of nutmeg. Dissolve cornstarch in water, then stir into peach mixture; set aside. In another bowl, combine milk, sugar, flour, baking powder and salt. Beat until smooth - mixture will be thin. Melt 1/2 cup butter in a 9x13 inch pan. Pour batter over melted butter. Spoon peaches over batter. Sprinkle top with additional cinnamon and nutmeg. Bake in preheated oven for 1 hour, or until knife inserted comes out clean.",30 mins,1 hr,1 hr 30 mins,18,1 9x13-inch cobbler,263,48,32,6,4,18,1,1,137,60,51,0,3,127,867,0,2,13,0,Middle East,"[1.0, 2.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 2.0, 1.0, 0.5, 1.0, 0.25]","['can', ' tablespoons', ' pinch', ' pinch', ' tablespoon', ' cup', ' cup', ' cup', ' cup', ' teaspoons', ' pinch', ' cup', ' teaspoon', ' teaspoon']","['sliced peaches', ' butter, melted', ' ground cinnamon', ' ground nutmeg', ' cornstarch', ' water', ' milk', ' white sugar', ' all-purpose flour', ' baking powder', ' salt', ' butter', ' ground cinnamon', ' ground nutmeg']",AAA
32,No Bake Sugar Free Cheese Cake,"lunch,dinner"," graham cracker,cream cheese,whipped topping","graham cracker,butter,cinnamon,lemon flavored Jello,cream cheese,vanilla,whipped topping",https://www.allrecipes.com/recipe/19073/no-bake-sugar-free-cheese-cake/,desserts,Penny Lipchen,This recipe has no added sugar so it is great for Diabetics.  It is a favorite in our house.  I first tried this recipe as a regular dessert and later tried it without sugar and found it to be just as good.,4.21,121,110,"1 ¾ cups graham cracker crumbs ; ½ cup butter ; ½ teaspoon ground cinnamon ; 1 (.6 ounce) package sugar free lemon flavored Jell-O® ; 1 cup boiling water ; 1 (8 ounce) package reduced fat cream cheese ; 2 teaspoons vanilla extract ; 1 cup frozen light whipped topping, thawed","Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, combine graham cracker crumbs, butter and cinnamon. Mix well and press into the bottom of a 9 inch square pan. Bake in preheated oven for 8 to 10 minutes. Remove from oven and allow to cool. Dissolve lemon gelatin in boiling water. Let cool until thickened, but not set. In a large bowl, beat cream cheese and vanilla until smooth. Blend in lemon gelatin. Fold in whipped topping. Pour filling into crust. Sprinkle top with graham cracker crumbs.  Refrigerate over night.",15 mins,0 min,15 mins,9,1 - 9 inch square pan,205,17,6,11,6,30,6,0,330,106,121,0,5,27,693,1,0,8,0,Middle East,"[1.75, 0.5, 0.5, 1.0, 1.0, 1.0, 2.0, 1.0]","['cups', ' cup', ' teaspoon', ' no unit', ' cup', ' package', ' teaspoons', ' cup']","['graham cracker crumbs', ' butter', ' ground cinnamon', ' (.6 ounce) package sugar free lemon flavored Jell-O®', ' boiling water', ' reduced fat cream cheese', ' vanilla extract', ' frozen light whipped topping, thawed']",AAA
33,Easy Lemon Curd Pound Cake,"lunch,dinner","egg,flour,lemon curd","flour,white sugar,butter,egg,lemon curd,lemon juice",https://www.allrecipes.com/recipe/262500/easy-lemon-curd-pound-cake/,desserts,buttons,This lemon curd cake is very moist and easy to make. I also sometimes bake them in muffin tins to make it easy for a packed lunch or picnic. Keeps well for a few days if wrapped in grease-proof paper and aluminum foil.,4.0,4,2,"5 ounces self-rising flour ; 4 ounces white sugar ; 1 stick unsalted butter ; 2  eggs, beaten ; 2 tablespoons lemon curd (heaped tablespoons) ; 2 tablespoons lemon juice ; 2 tablespoons superfine sugar ; 1 tablespoon lemon zest","Preheat the oven to 350 degrees F (175 degrees C). Line a loaf pan with parchment paper. Combine flour, sugar, butter, eggs, and lemon curd in a bowl or food processor. Mix well. Place into the prepared pan. Bake in the center of the preheated oven until a toothpick inserted into the middle of the cake comes out clean, 60 to 90 minutes. Blend lemon juice, white sugar, and lemon zest together in a bowl while cake is baking. Let cake cool in the pan, 2 to 3 minutes. Pour the lemon-sugar topping over the warm cake to let soak. Allow to cool, about 30 minutes. Turn cake out of the pan.",5 mins,1 hr,1 hr 35 mins,10,1 loaf,210,27,16,10,6,64,2,0,195,94,56,0,4,38,333,1,2,32,0,Middle East,"[5.0, 4.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0]","['ounces', ' ounces', ' stick', ' no unit', ' tablespoons', ' tablespoons', ' tablespoons', ' tablespoon']","['self-rising flour', ' white sugar', ' unsalted butter', ' eggs, beaten', ' lemon curd (heaped tablespoons)', ' lemon juice', ' superfine sugar', ' lemon zest']",AAA
34,Baked Pineapple,"lunch,dinner","egg,cornstarch,pineapple","pineapple,white sugar,cornstarch,egg,vanilla ,butter,cinnamon",https://www.allrecipes.com/recipe/18452/baked-pineapple/,desserts,LMATHIS_69,We have this at every family gathering and there are NEVER any leftovers! This sugary pineapple concoction is perfect for an Easter meal because it can be used as a dessert or a side dish. Enjoy!,4.36,100,76,"1 (20 ounce) can crushed pineapple, drained ; 1 cup white sugar ; 2 tablespoons cornstarch ; ¼ cup cold water ; 2  eggs ; 1 tablespoon vanilla extract ; 1 tablespoon butter ; 1 teaspoon ground cinnamon","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x9 inch baking dish. In a mixing bowl, mix together the pineapple, sugar, cornstarch, water, eggs and vanilla.  Pour the mixture into the prepared baking dish.  Dot the mixture with butter and sprinkle with cinnamon. Bake in a preheated 350 degrees F (175 degrees C) oven for 1 hour.",10 mins,1 hr,1 hr 10 mins,7,7 servings,207,43,40,3,1,57,2,0,55,28,23,0,13,122,151,0,7,9,0,Middle East,"[1.0, 1.0, 2.0, 0.25, 2.0, 1.0, 1.0, 1.0]","['can', ' cup', ' tablespoons', ' cup', ' no unit', ' tablespoon', ' tablespoon', ' teaspoon']","['crushed pineapple, drained', ' white sugar', ' cornstarch', ' cold water', ' eggs', ' vanilla extract', ' butter', ' ground cinnamon']",AAA
35,Best Apple Crisp Ever,"lunch,dinner","butter ,egg,flour,apple","apple,brown sugar,flour,white sugar,cinnamon,egg,butter",https://www.allrecipes.com/recipe/16854/best-apple-crisp-ever/,desserts,Olga,"Easy to make and delicious, with a thick, crunchy, cinnamony topping over brown sugar coated apple slices.",3.76,285,220,"4  apples - peeled, cored and sliced ; ½ cup brown sugar ; 1 cup all-purpose flour ; ¾ cup white sugar ; 1 teaspoon ground cinnamon ; ¼ teaspoon salt ; 1  egg, beaten ; 2 tablespoons butter, melted","Preheat oven to 375  degrees F (190 degrees C). In a 9 inch square baking pan, mix sliced apples with brown sugar. In a large bowl, mix together flour, white sugar, cinnamon and salt. In a small bowl, beat together egg and melted butter. Stir into flour mixture. Spread evenly over apples. Bake in preheated oven for 30 to 40 minutes, or until topping is golden and crisp.",15 mins,35 mins,50 mins,6,1 - 9 inch square pan,330,70,51,5,2,41,3,1,141,44,32,1,11,137,192,2,3,42,0,Middle East,"[4.0, 0.5, 1.0, 0.75, 1.0, 0.25, 1.0, 2.0]","['no unit', ' cup', ' cup', ' cup', ' teaspoon', ' teaspoon', ' no unit', ' tablespoons']","['apples - peeled, cored and sliced', ' brown sugar', ' all-purpose flour', ' white sugar', ' ground cinnamon', ' salt', ' egg, beaten', ' butter, melted']",AAA
36,Cream Cheese Mints,"lunch,dinner","peppermint oil,cream cheese","cream cheese,butter,sugar,peppermint oil",https://www.allrecipes.com/recipe/9441/cream-cheese-mints/,desserts,diane,"These seem to be everyone's favorite holiday candy recipe. Could be the melt in your mouth texture, or perhaps the sweet peppermint taste. Could also be the fact that this is the easiest candy recipe around! If stored in airtight container, these can be frozen for a couple months. These can also be made into pretty shapes by rolling in granulated sugar, pressing into candy molds, and dropping them out.",4.35,302,243,"1 (3 ounce) package cream cheese, softened ; 1 tablespoon butter, softened ; 3 cups confectioners' sugar ; 2 drops peppermint oil ; 1 drop any color food coloring paste","In a large bowl, combine cream cheese, butter, and confectioner's sugar. Mix in peppermint oil. Color as desired with food coloring paste, or leave white. Roll mixture into small balls, and place on waxed paper. Flatten with a fork dipped in confectioners' sugar. Let dry for about 2 hours on waxed paper, then freeze or refrigerate.",30 mins,2 hrs,2 hrs 30 mins,16,8 dozen,112,22,22,2,1,7,0,0,21,23,4,0,0,7,93,0,0,0,0,Middle East,"[1.0, 1.0, 3.0, 2.0, 1.0]","['package', ' tablespoon', ' cups', ' no unit', ' no unit']","['cream cheese, softened', ' butter, softened', "" confectioners' sugar"", ' drops peppermint oil', ' drop any color food coloring paste']",AAA
37,Watermelon Ice Pops,"lunch,dinner","honey,watermelon","watermelon,honey,lemon juice,white sugar",https://www.allrecipes.com/recipe/242400/watermelon-ice-pops/,desserts,Mama Alanna,"Cool and refreshing, with no artificial colors or flavors! If you don't have ice pop molds, you can use paper cups and wooden sticks.",4.91,11,9,"1 ½ cups watermelon, seeded and diced ; ½ cup water ; 1 tablespoon honey ; 1 tablespoon fresh lemon juice ; 1 tablespoon white sugar","Blend watermelon, water, honey, lemon juice, and sugar together in a blender until smooth. Pour mixture into ice pop molds and freeze until solid, about 2 hours. Run hot water over ice pop molds for a few seconds to unmold.",10 mins,2 hrs,2 hrs 10 mins,6,6 ice pops,30,8,7,0,0,0,0,0,1,0,3,0,4,47,216,0,4,1,0,Middle East,"[1.5, 0.5, 1.0, 1.0, 1.0]","['cups', ' cup', ' tablespoon', ' tablespoon', ' tablespoon']","['watermelon, seeded and diced', ' water', ' honey', ' fresh lemon juice', ' white sugar']",AAA
38,Gluten-Free Raspberry Lemon Cake,"lunch,dinner","raspberries,coconut oil,egg white,yogurt ,milk","flour,baking powder,baking soda,honey,milk,yogurt ,egg white,lemon juice,coconut oil,raspberries",https://www.allrecipes.com/recipe/258707/gluten-free-raspberry-lemon-cake/,desserts,Megan Olson,"Healthy raspberry lemon cake made with tart lemon juice, Greek yogurt, rings of sweet raspberries and no refined sugar! This elegant cake is the perfect balance of sweet and tart. A fancy dessert with no guilt!",5.0,1,1,"cooking spray ; 1 cup gluten-free all-purpose baking flour ; 1 teaspoon baking powder ; ½ teaspoon baking soda ; ½ teaspoon sea salt ; ½ cup honey ; ¼ cup unsweetened almond milk ; ¼ cup plain nonfat Greek yogurt ; 2  egg whites, at room temperature ; ¼ cup lemon juice ; 1 tablespoon coconut oil, melted ; 2 teaspoons lemon extract ; 2 cups fresh raspberries ; 1  lemon, zested","Preheat oven to 350 degrees F (175 degrees C). Lightly spray a 9-inch round cake pan with cooking spray. Sift gluten-free baking flour, baking powder, baking soda, and sea salt together in a bowl until well combined. Combine honey, almond milk, Greek yogurt, egg whites, lemon juice, coconut oil, and lemon extract in a large bowl. Stir to combine until no lumps remain. Gently stir in the flour mixture until batter is just combined. Pour batter into the prepared cake pan. Scatter raspberries over batter, gently pressing so they stay in place. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 35 minutes. Cool cake in the pan, about 20 minutes. Invert onto a serving plate. Sprinkle lemon zest on top.",15 mins,30 mins,1 hr 5 mins,8,1 9-inch cake,170,35,20,3,1,1,3,3,273,28,50,1,9,89,58,0,11,9,0,Middle East,"[0.0, 1.0, 1.0, 0.5, 0.5, 0.5, 0.25, 0.25, 2.0, 0.25, 1.0, 2.0, 2.0, 1.0]","['no unit', ' cup', ' teaspoon', ' teaspoon', ' teaspoon', ' cup', ' cup', ' cup', ' no unit', ' cup', ' tablespoon', ' teaspoons', ' cups', ' no unit']","['cooking spray', ' gluten-free all-purpose baking flour', ' baking powder', ' baking soda', ' sea salt', ' honey', ' unsweetened almond milk', ' plain nonfat Greek yogurt', ' egg whites, at room temperature', ' lemon juice', ' coconut oil, melted', ' lemon extract', ' fresh raspberries', ' lemon, zested']",AAA
39,Fruit Pizza II,"lunch,dinner","sugar cookie dough,cornstarch,strawberries,cream cheese","sugar cookie dough,cream cheese,whipped topping,strawberries,white sugar,cornstarch,lemon juice",https://www.allrecipes.com/recipe/12618/fruit-pizza-ii/,desserts,Kay Craft,"A fruit covered cookie crust that is shaped like a pizza. Try using star fruit, peaches, bananas, kiwi, orange slices, blueberries, and pineapples.",4.81,486,343,"1 (18 ounce) package refrigerated sugar cookie dough ; 1 (8 ounce) package cream cheese, softened ; 1 (8 ounce) container frozen whipped topping, thawed ; 2 cups sliced fresh strawberries ; ½ cup white sugar ; 1 pinch salt ; 1 tablespoon cornstarch ; ½ cup orange juice ; 2 tablespoons lemon juice ; ¼ cup water ; ½ teaspoon orange zest","Preheat oven to 350 degrees F (175 degrees C). Slice cookie dough and arrange on greased pizza pan, overlapping edges. Press dough flat into pan. Bake for 10 to 12 minutes. Allow to cool. In a large bowl, soften cream cheese, then fold in the whipped topping. Spread over cooled crust. You can chill for a while at this point, or continue by arranging the fruit. Begin with strawberries, sliced in half. Arrange in a circle around the outside edge. Continue with fruit of your choice, working towards the middle. If bananas are used, dip them in lemon juice so they don't darken. Then make a sauce to spoon over fruit. In a saucepan, combine sugar, salt, corn starch, orange juice, lemon juice and water. Cook and stir over medium heat. Bring to a boil, and cook for 1 or 2 minutes, until thickened.  Remove from heat, and add grated orange rind. Allow to cool, but not set up. Spoon over fruit. Chill for two hours, then cut into wedges and serve.",30 mins,0 min,30 mins,8,1 pizza pie,534,62,36,30,15,49,5,1,356,270,84,1,14,230,477,2,34,58,0,Middle East,"[1.0, 1.0, 1.0, 2.0, 0.5, 1.0, 1.0, 0.5, 2.0, 0.25, 0.5]","['package', ' package', ' no unit', ' cups', ' cup', ' pinch', ' tablespoon', ' cup', ' tablespoons', ' cup', ' teaspoon']","['refrigerated sugar cookie dough', ' cream cheese, softened', ' container frozen whipped topping, thawed', ' sliced fresh strawberries', ' white sugar', ' salt', ' cornstarch', ' orange juice', ' lemon juice', ' water', ' orange zest']",AAA
40,Sugar-Free Date Cookies,"lunch,dinner","pecans,flour,butter,egg,dates","dates,pecans,banana,egg,butter,vanilla,flour,baking powder",https://www.allrecipes.com/recipe/275260/sugar-free-date-cookies/,desserts,lutzflcat,"Enjoy the natural sweetness from the dates, the crunch from the pecans, the moisture from the banana, and the satisfaction that you're serving your family a healthier cookie.",5.0,2,1,"1 cup chopped dates ; ¼ cup chopped pecans ; ¼ cup water ; ½  very ripe banana, mashed ; 1 large egg, lightly beaten ; 2 tablespoons butter, melted ; ½ teaspoon vanilla extract ; 1 cup all-purpose flour ; 1 teaspoon baking powder ; 1 teaspoon cinnamon ; ¼ teaspoon salt","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Combine the dates, pecans, water, banana, egg, butter, and vanilla extract in a bowl. Whisk flour, baking powder, cinnamon, and salt together in a separate bowl. Add to the date mixture and stir until well combined. Drop dough by tablespoonfuls about 1 inch apart onto the prepared baking sheet and flatten lightly with the palm of your hand. Bake in the preheated oven until cookies start to brown around the edges, being careful not to over-bake, for 11 to 13 minutes. Transfer cookies immediately to a wire rack to cool.",15 mins,15 mins,30 mins,18,18 cookies,82,13,6,2,1,13,1,1,72,24,24,0,9,95,57,0,0,16,0,Middle East,"[1.0, 0.25, 0.25, 0.5, 1.0, 2.0, 0.5, 1.0, 1.0, 1.0, 0.25]","['cup', ' cup', ' cup', ' no unit', ' no unit', ' tablespoons', ' teaspoon', ' cup', ' teaspoon', ' teaspoon', ' teaspoon']","['chopped dates', ' chopped pecans', ' water', ' very ripe banana, mashed', ' large egg, lightly beaten', ' butter, melted', ' vanilla extract', ' all-purpose flour', ' baking powder', ' cinnamon', ' salt']",AAA
41,Carrot Pie,"lunch,dinner","milk,egg,carrot,sugar","pie shell,sugar,carrot,egg,cinnamon,vanilla,milk",https://www.allrecipes.com/recipe/53204/carrot-pie/,desserts,Laura,"Carrot Pie, with its sweet cinnamon taste, has been in my family for at least 5 generations. It's a must-have at our family Thanksgiving and Christmas get-togethers (but good any time!).",4.75,36,31,1 (9 inch) unbaked pie shell ; ¾ cup sugar ; 2 cups chopped carrots ; 2  eggs ; 1 teaspoon ground cinnamon ; 1 teaspoon vanilla extract ; ¾ cup milk,"Preheat the oven to 400 degrees F (200 degrees C). Press the pie crust into the bottom and up the sides of a 9-inch pie plate. Bake the pie shell for 3 to 5 minutes, just to firm it up, then remove from the oven, and set aside. Place carrots in a saucepan with enough water to cover. Bring to a boil, and cook until tender, about 10 minutes. Drain water, and mash carrots until smooth using a food processor, or potato ricer. In a medium bowl, mix together the carrot puree, sugar and eggs. Mix in the cinnamon and vanilla. Gradually stir in the milk. Pour the mixture into the partially baked pie shell. Bake for 10 minutes in the preheated oven, then reduce heat to 350 degrees F (175 degrees C). Bake for an additional 40 to 45 minutes at the lower temperature, or until firm. Cool completely before serving.",30 mins,55 mins,3 hrs 25 mins,8,8 Servings,231,33,21,9,2,48,4,1,166,83,49,1,11,174,5691,1,2,30,0,Middle East,"[1.0, 0.75, 2.0, 2.0, 1.0, 1.0, 0.75]","['no unit', ' cup', ' cups', ' no unit', ' teaspoon', ' teaspoon', ' cup']","['unbaked pie shell', ' sugar', ' chopped carrots', ' eggs', ' ground cinnamon', ' vanilla extract', ' milk']",AAA
42,Pasta Salad,"lunch,dinner","black olive,tomato,pasta","pasta,salad seasoning mix,Italian-style salad dressing,tomato,green pepper,red pepper,yellow pepper,black olive",https://www.allrecipes.com/recipe/14385/pasta-salad/,salad,Cyndie,A dear friend gave me this recipe many years ago and I've been making it ever since. It's great for barbecues.,4.62,287,188,"1 pound tri-colored spiral pasta ; 6 tablespoons salad seasoning mix ; 1 (16 ounce) bottle Italian-style salad dressing ; 2 cups cherry tomatoes, diced ; 1  green bell pepper, chopped ; 1  red bell pepper, diced ; ½  yellow bell pepper, chopped ; 1 (2.25 ounce) can black olives, chopped","In a large pot of salted boiling water, cook pasta until al dente, rinse under cold water and drain. Whisk together the salad spice mix and Italian dressing. In a salad bowl, combine the pasta, cherry tomatoes, bell peppers and olives. Pour dressing over salad; toss and refrigerate overnight.",20 mins,15 mins,13 hrs 55 mins,6,6 servings,400,39,8,24,4,2,7,3,1904,222,54,2,14,297,1426,0,79,22,0,Italian,"[1.0, 6.0, 1.0, 2.0, 1.0, 1.0, 0.5, 1.0]","['pound', ' tablespoons', ' no unit', ' cups', ' no unit', ' no unit', ' no unit', ' no unit']","['tri-colored spiral pasta', ' salad seasoning mix', ' bottle Italian-style salad dressing', ' cherry tomatoes, diced', ' green bell pepper, chopped', ' red bell pepper, diced', ' yellow bell pepper, chopped', ' (2.25 ounce) can black olives, chopped']",AAA
