name,meal time,main ingredients,Cleaned_Ingredients,url,category,author,summary,rating,rating_count,review_count,ingredients,directions,prep,cook,total,servings,yield,calories,carbohydrates_g,sugars_g,fat_g,saturated_fat_g,cholesterol_mg,protein_g,dietary_fiber_g,sodium_mg,calories_from_fat,calcium_mg,iron_mg,magnesium_mg,potassium_mg,vitamin_a_iu_IU,niacin_equivalents_mg,vitamin_c_mg,folate_mcg,thiamin_mg,cuisine,Quantities,Units,Ingredients
Delicious Baked Chicken Kiev,lunch,"butter,garlic powder,parsley,corn flake cereal,paprika,salt,chicken breast,buttermilk","butter,garlic powder,parsley,corn flake cereal,paprika,salt,chicken,buttermilk",https://www.allrecipes.com/recipe/50331/delicious-baked-chicken-kiev/,meat-and-poultry,Jessica,"This is the BEST! I was raised on this, and it is the best chicken Kiev you'll ever have. After you make it a few times it's a snap. I do this by memory. You can adjust the flavors to taste. This recipe tastes great as leftovers also!",4.18,115,89,"¼ cup butter, softened ; ⅛ teaspoon garlic powder ; 1 tablespoon chopped fresh parsley ; 5 cups honey-sweetened corn flake cereal ; 3 tablespoons chopped fresh parsley ; 1 ½ teaspoons garlic powder ; 1 teaspoon paprika ; 1 teaspoon salt ; 6  skinless, boneless chicken breast halves - pounded to 1/4 inch thickness ; ¼ cup buttermilk","In a small bowl, stir together the butter, 1/8 teaspoon garlic powder, and 1 tablespoon of parsley. Spread the butter mixture 1/2 inch thick onto a piece of aluminum foil, and place in the freezer to harden. Place the cereal in a large plastic resealable bag, and crush with a rolling pin. Add the remaining parsley, 1 1/2 teaspoons garlic powder, paprika and salt, seal the bag, and shake to mix. Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x13 inch baking dish. Remove the slab of butter mixture from the freezer, and slice into 6 strips. Place one strip onto the center of each pounded chicken breast, roll up and secure with toothpicks. Dip rolled chicken breasts into buttermilk, then into the cereal mixture. Place coated breasts into the prepared baking dish. Bake, uncovered, for 30 to 40 minutes until chicken is no longer pink, and the juices run clear. The outside should be crispy and golden.",25 mins,35 mins,1 hr,6,6 servings,330.7,30.9,13.1,9.6,5.3,89.2,29.8,1.3,820.8,86.0,32.5,6.1,42.6,379.4,1508.2,24.3,21.9,120.8,0.1,Middle East,¼; ⅛; 1; 5; 3; 1 ½; 1; 1; 6; ¼,cup; teaspoon; tablespoon; cups; tablespoons; teaspoons; teaspoon; teaspoon; no unit; cup,"butter, softened; garlic powder; chopped fresh parsley; honey-sweetened corn flake cereal; chopped fresh parsley; garlic powder; paprika; salt; skinless, boneless chicken breast halves - pounded to 1/4 inch thickness; buttermilk"
Chicken Hurry,lunch,"chicken,ketchup,water,brown sugar,onion","chicken,ketchup,water,brown sugar,onion",https://www.allrecipes.com/recipe/8896/chicken-hurry/,meat-and-poultry,MOM2112,"This is a quick and easy dish to make. Great for potlucks, family dinners, or cold the next day with salad for a picnic. This sauce is also great on pork spare ribs. Serve hot with rice and salad.",4.2,312,243,"1 (3 pound) whole chicken, cut into pieces ; ½ cup ketchup ; ¼ cup water ; ¼ cup packed brown sugar ; 1 (1 ounce) package dry onion soup mix","Preheat oven to 350 degrees F (175 degrees C). Place chicken pieces in a single layer in a lightly greased 9x13 inch baking dish. In a medium bowl, combine the ketchup, water, brown sugar and dry soup mix. Carefully pour over the chicken, making sure that all of the pieces are covered. Cover dish and bake in the preheated oven for 1 hour.",10 mins,1 hr,1 hr 10 mins,6,6 servings,554.7,16.9,13.7,34.3,9.8,170.3,42.9,0.3,796.9,309.0,46.3,2.3,50.1,517.7,504.4,23.6,7.2,15.7,,Middle East,1 (3 pound); ½; ¼; ¼; 1 (1 ounce),no unit; cup; cup; cup; package,"whole chicken, cut into pieces; ketchup; water; packed brown sugar; dry onion soup mix"
Perfect Turkey,lunch,"turkey,salt,butter,onions,carrots,celery,thyme,bay leaf,white wine","turkey,salt,butter,onion,carrot,celery,thyme,bay leaf,white wine",https://www.allrecipes.com/recipe/43655/perfect-turkey/,meat-and-poultry,Shelly White,"A perfectly seasoned and juicy turkey. My friend from France taught me to cook turkey like this, but she never measures anything so use your own judgment for vegetable amounts, etc. I usually err on the side of 'more is better'!",4.82,1753,1291,"1 (18 pound) whole turkey, neck and giblets removed ; 2 cups kosher salt ; ½ cup butter, melted ; 2 large onions, peeled and chopped ; 4  carrots, peeled and chopped ; 4 stalks celery, chopped ; 2 sprigs fresh thyme ; 1  bay leaf ; 1 cup dry white wine","Rub the turkey inside and out with the kosher salt. Place the bird in a large stock pot, and cover with cold water. Place in the refrigerator, and allow the turkey to soak in the salt and water mixture 12 hours, or overnight. Preheat oven to 350 degrees F (175 degrees C). Thoroughly rinse the turkey, and discard the brine mixture. Brush the turkey with 1/2 the melted butter. Place breast side down on a roasting rack in a shallow roasting pan. Stuff the turkey cavity with 1 onion, 1/2 the carrots, 1/2 the celery, 1 sprig of thyme, and the bay leaf. Scatter the remaining vegetables and thyme around the bottom of the roasting pan, and cover with the white wine. Roast uncovered 3 1/2 to 4 hours in the preheated oven, until the internal temperature of the thigh reaches 180 degrees F (85 degrees C). Carefully turn the turkey breast side up about 2/3 through the roasting time, and brush with the remaining butter. Allow the bird to stand about 30 minutes before carving.",30 mins,4 hrs,17 hrs,24,1 (18 pound) turkey,593.8,1.6,0.7,31.2,10.1,241.9,69.8,0.3,7846.0,,58.9,4.9,78.1,950.8,170.4,26.7,1.2,32.3,0.2,Middle East,1 (18 pound); 2; ½; 2; 4; 4; 2; 1; 1,no unit; cups; cup; no unit; no unit; no unit; no unit; no unit; cup,"whole turkey, neck and giblets removed; kosher salt; butter, melted; large onions, peeled and chopped; carrots, peeled and chopped; stalks celery, chopped; sprigs fresh thyme; bay leaf; dry white wine"
Lemon Chicken Tenders,lunch,"paprika,salt ,pepper,chicken breasts,eggs,bread crumbs,sugar,lemon juice,curry","paprika,salt ,pepper,chicken,egg,bread crumb,sugar,lemon juice,curry",https://www.allrecipes.com/recipe/89590/lemon-chicken-tenders/,meat-and-poultry,J. Roderick,"This a great recipe that my family loves. It's fairly quick and easy, and you more than likely don't have to go out and buy any new ingredients!",4.1,352,254,"½ teaspoon paprika ; ½ teaspoon salt ; ¼ teaspoon pepper ; 3 large boneless, skinless chicken breasts, cut into 2-inch pieces ; 2  eggs, slightly beaten ; 1 cup Italian seasoned bread crumbs ; ½ cup sugar ; ½ cup lemon juice ; 1 ½ teaspoons curry powder","Preheat oven to 400 degrees F (200 degrees C). In a bowl, stir together paprika, salt, and pepper. Sprinkle seasoning over chicken pieces. Dip pieces in egg, then dredge in bread crumbs. Arrange chicken pieces in a single layer in an aluminum foil-lined 15x10-inch jelly roll pan. Bake in preheated oven for 15 minutes, turning once. In a small saucepan over medium-low heat, stir together sugar, lemon juice, and curry powder, stirring until sugar dissolves, about 5 minutes. Drizzle lemon sauce over chicken, return to oven, and bake 5 minutes more.",15 mins,20 mins,35 mins,4,4 servings,441.2,48.5,27.0,6.2,1.4,191.8,46.8,1.5,867.3,56.2,79.2,3.5,55.2,526.3,321.8,27.5,16.4,24.0,0.1,Middle East,½; ½; ¼; 3; 2; 1; ½; ½; 1 ½,teaspoon; teaspoon; teaspoon; no unit; no unit; cup; cup; cup; teaspoons,"paprika; salt; pepper; large boneless, skinless chicken breasts, cut into 2-inch pieces; eggs, slightly beaten; Italian seasoned bread crumbs; sugar; lemon juice; curry powder"
Original Steak Tartare,dinner,"beef,brown mustard,pepper sauce,Worcestershire sauce,brandy,salt,white pepper,egg","beef,brown mustard,pepper sauce,Worcestershire sauce,brandy,salt,white pepper,egg",https://www.allrecipes.com/recipe/60315/original-steak-tartare/,meat-and-poultry,ITSIE,"The legend goes that Tartare tribes when fighting in the past didn't even have time to stop and cook their food. They are said to have kept the meat underneath their saddles and mince it in this way. Today this dish is a gourmet classic. This dish is eaten like a pate, spread on a piece of warm toast with fresh tomato and onion rings on top. It is very important though to make sure that both the meat and the egg are very fresh because they are eaten raw.",4.62,13,13,"1 pound finely ground beef tenderloin ; 1 teaspoon brown mustard ; ½ teaspoon hot pepper sauce (e.g. Tabasco™), or to taste ; 1 teaspoon Worcestershire sauce ; 1 teaspoon brandy ; 1 pinch salt, or to taste ;   ground white pepper to taste ; 1  egg","In a medium bowl, mix together the beef, mustard, hot pepper sauce, Worcestershire sauce, brandy, salt, pepper and egg until well blended. Arrange the meat in a neat pile on a glass dish, and cover with aluminum foil. Refrigerate for 30 minutes to allow the flavors to blend. Serve as a spread on crackers or toast.",10 mins,,40 mins,6,6 servings,230.6,0.4,0.2,18.2,7.3,84.7,14.5,0.1,72.9,164.2,11.8,2.0,16.3,242.9,47.8,5.0,0.1,8.5,0.1,Middle East,1; 1; ½; 1; 1; 1; no quantity; 1,pound; teaspoon; teaspoon; teaspoon; teaspoon; pinch; no unit; no unit,"finely ground beef tenderloin; brown mustard; hot pepper sauce (e.g. Tabasco™), or to taste; Worcestershire sauce; brandy; salt, or to taste; ground white pepper to taste; egg"
Best Peach Cobbler Ever,"lunch,dinner","peaches,butter, cinnamon,cornstarch,milk,white sugar,flour,baking powder","peache,butter, cinnamon,nutmeg,cornstarch,water,milk,white sugar,flour,baking powder,salt",https://www.allrecipes.com/recipe/12320/best-peach-cobbler-ever/,desserts,J. Saunders,This is a very moist cobbler - easy to make and delicious to eat!,4.22,368,283,"1 (29 ounce) can sliced peaches ; 2 tablespoons butter, melted ; 1 pinch ground cinnamon ; 1 pinch ground nutmeg ; 1 tablespoon cornstarch ; ½ cup water ; 1 cup milk ; 1 cup white sugar ; 1 cup all-purpose flour ; 2 teaspoons baking powder ; 1 pinch salt ; ½ cup butter ; 1 teaspoon ground cinnamon ; ¼ teaspoon ground nutmeg","Preheat oven to 350 degrees F (175 degrees C.) In a large bowl, combine sliced peaches with juice, 2 tablespoons melted butter, a pinch of cinnamon and a pinch of nutmeg. Dissolve cornstarch in water, then stir into peach mixture; set aside. In another bowl, combine milk, sugar, flour, baking powder and salt. Beat until smooth - mixture will be thin. Melt 1/2 cup butter in a 9x13 inch pan. Pour batter over melted butter. Spoon peaches over batter. Sprinkle top with additional cinnamon and nutmeg. Bake in preheated oven for 1 hour, or until knife inserted comes out clean.",30 mins,1 hr,1 hr 30 mins,18,1 9x13-inch cobbler,263.4,48.4,32.7,6.8,4.3,18.0,1.2,1.9,137.8,60.9,51.2,0.4,3.7,127.9,867.7,0.7,2.0,13.7,0.1,Middle East,1 (29 ounce); 2; 1; 1; 1; ½; 1; 1; 1; 2; 1; ½; 1; ¼,can; tablespoons; pinch; pinch; tablespoon; cup; cup; cup; cup; teaspoons; pinch; cup; teaspoon; teaspoon,"sliced peaches; butter, melted; ground cinnamon; ground nutmeg; cornstarch; water; milk; white sugar; all-purpose flour; baking powder; salt; butter; ground cinnamon; ground nutmeg"
No Bake Sugar Free Cheese Cake,"lunch,dinner","graham cracker,butter,cinnamon,lemon flavored Jello,water,cream cheese,vanilla,whipped topping","graham cracker,butter,cinnamon,lemon flavored Jello,water,cream cheese,vanilla,whipped topping",https://www.allrecipes.com/recipe/19073/no-bake-sugar-free-cheese-cake/,desserts,Penny Lipchen,This recipe has no added sugar so it is great for Diabetics.  It is a favorite in our house.  I first tried this recipe as a regular dessert and later tried it without sugar and found it to be just as good.,4.21,121,110,"1 ¾ cups graham cracker crumbs ; ½ cup butter ; ½ teaspoon ground cinnamon ; 1 (.6 ounce) package sugar free lemon flavored Jell-O® ; 1 cup boiling water ; 1 (8 ounce) package reduced fat cream cheese ; 2 teaspoons vanilla extract ; 1 cup frozen light whipped topping, thawed","Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, combine graham cracker crumbs, butter and cinnamon. Mix well and press into the bottom of a 9 inch square pan. Bake in preheated oven for 8 to 10 minutes. Remove from oven and allow to cool. Dissolve lemon gelatin in boiling water. Let cool until thickened, but not set. In a large bowl, beat cream cheese and vanilla until smooth. Blend in lemon gelatin. Fold in whipped topping. Pour filling into crust. Sprinkle top with graham cracker crumbs.  Refrigerate over night.",15 mins,,15 mins,9,1 - 9 inch square pan,205.8,17.0,6.9,11.9,6.7,30.9,6.0,0.5,330.1,106.9,121.5,0.6,5.4,27.3,693.0,1.0,,8.2,,Middle East,1 ¾; ½; ½; 1; 1; 1 (8 ounce); 2; 1,cups; cup; teaspoon; no unit; cup; package; teaspoons; cup,"graham cracker crumbs; butter; ground cinnamon; (.6 ounce) package sugar free lemon flavored Jell-O®; boiling water; reduced fat cream cheese; vanilla extract; frozen light whipped topping, thawed"
Easy Lemon Curd Pound Cake,"lunch,dinner","flour,white sugar,butter,eggs,lemon curd,lemon juice","flour,white sugar,butter,egg,lemon curd,lemon juice,superfine sugar,lemon zest",https://www.allrecipes.com/recipe/262500/easy-lemon-curd-pound-cake/,desserts,buttons,This lemon curd cake is very moist and easy to make. I also sometimes bake them in muffin tins to make it easy for a packed lunch or picnic. Keeps well for a few days if wrapped in grease-proof paper and aluminum foil.,4.0,4,2,"5 ounces self-rising flour ; 4 ounces white sugar ; 1 stick unsalted butter ; 2  eggs, beaten ; 2 tablespoons lemon curd (heaped tablespoons) ; 2 tablespoons lemon juice ; 2 tablespoons superfine sugar ; 1 tablespoon lemon zest","Preheat the oven to 350 degrees F (175 degrees C). Line a loaf pan with parchment paper. Combine flour, sugar, butter, eggs, and lemon curd in a bowl or food processor. Mix well. Place into the prepared pan. Bake in the center of the preheated oven until a toothpick inserted into the middle of the cake comes out clean, 60 to 90 minutes. Blend lemon juice, white sugar, and lemon zest together in a bowl while cake is baking. Let cake cool in the pan, 2 to 3 minutes. Pour the lemon-sugar topping over the warm cake to let soak. Allow to cool, about 30 minutes. Turn cake out of the pan.",5 mins,1 hr,1 hr 35 mins,10,1 loaf,210.1,27.0,16.1,10.5,6.2,64.1,2.8,0.5,195.7,94.5,56.5,0.8,4.4,38.4,333.0,1.4,2.2,32.9,0.1,Middle East,5; 4; 1; 2; 2; 2; 2; 1,ounces; ounces; stick; no unit; tablespoons; tablespoons; tablespoons; tablespoon,"self-rising flour; white sugar; unsalted butter; eggs, beaten; lemon curd (heaped tablespoons); lemon juice; superfine sugar; lemon zest"
Baked Pineapple,"lunch,dinner","pineapple,white sugar,cornstarch,eggs,vanilla ,butter","pineapple,white sugar,cornstarch,water,egg,vanilla ,butter,cinnamon",https://www.allrecipes.com/recipe/18452/baked-pineapple/,desserts,LMATHIS_69,We have this at every family gathering and there are NEVER any leftovers! This sugary pineapple concoction is perfect for an Easter meal because it can be used as a dessert or a side dish. Enjoy!,4.36,100,76,"1 (20 ounce) can crushed pineapple, drained ; 1 cup white sugar ; 2 tablespoons cornstarch ; ¼ cup cold water ; 2  eggs ; 1 tablespoon vanilla extract ; 1 tablespoon butter ; 1 teaspoon ground cinnamon","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x9 inch baking dish. In a mixing bowl, mix together the pineapple, sugar, cornstarch, water, eggs and vanilla.  Pour the mixture into the prepared baking dish.  Dot the mixture with butter and sprinkle with cinnamon. Bake in a preheated 350 degrees F (175 degrees C) oven for 1 hour.",10 mins,1 hr,1 hr 10 mins,7,7 servings,207.4,43.7,40.5,3.1,1.5,57.2,2.2,0.8,55.2,28.2,23.0,0.5,13.4,122.0,151.3,0.7,7.6,9.1,0.1,Middle East,1 (20 ounce); 1; 2; ¼; 2; 1; 1; 1,can; cup; tablespoons; cup; no unit; tablespoon; tablespoon; teaspoon,"crushed pineapple, drained; white sugar; cornstarch; cold water; eggs; vanilla extract; butter; ground cinnamon"
Best Apple Crisp Ever,"lunch,dinner","apples,brown sugar,flour,white sugar,cinnamon,salt,egg,butter","apple,brown sugar,flour,white sugar,cinnamon,salt,egg,butter",https://www.allrecipes.com/recipe/16854/best-apple-crisp-ever/,desserts,Olga,"Easy to make and delicious, with a thick, crunchy, cinnamony topping over brown sugar coated apple slices.",3.76,285,220,"4  apples - peeled, cored and sliced ; ½ cup brown sugar ; 1 cup all-purpose flour ; ¾ cup white sugar ; 1 teaspoon ground cinnamon ; ¼ teaspoon salt ; 1  egg, beaten ; 2 tablespoons butter, melted","Preheat oven to 375  degrees F (190 degrees C). In a 9 inch square baking pan, mix sliced apples with brown sugar. In a large bowl, mix together flour, white sugar, cinnamon and salt. In a small bowl, beat together egg and melted butter. Stir into flour mixture. Spread evenly over apples. Bake in preheated oven for 30 to 40 minutes, or until topping is golden and crisp.",15 mins,35 mins,50 mins,6,1 - 9 inch square pan,330.0,70.1,51.5,5.0,2.7,41.2,3.5,1.9,141.4,44.9,32.3,1.3,11.0,137.9,192.4,2.0,3.4,42.4,0.2,Middle East,4; ½; 1; ¾; 1; ¼; 1; 2,no unit; cup; cup; cup; teaspoon; teaspoon; no unit; tablespoons,"apples - peeled, cored and sliced; brown sugar; all-purpose flour; white sugar; ground cinnamon; salt; egg, beaten; butter, melted"
Cream Cheese Mints,"lunch,dinner","cream cheese,butter,confectioners' sugar,peppermint oil","cream cheese,butter,sugar,peppermint oil, food coloring paste",https://www.allrecipes.com/recipe/9441/cream-cheese-mints/,desserts,diane,"These seem to be everyone's favorite holiday candy recipe. Could be the melt in your mouth texture, or perhaps the sweet peppermint taste. Could also be the fact that this is the easiest candy recipe around! If stored in airtight container, these can be frozen for a couple months. These can also be made into pretty shapes by rolling in granulated sugar, pressing into candy molds, and dropping them out.",4.35,302,243,"1 (3 ounce) package cream cheese, softened ; 1 tablespoon butter, softened ; 3 cups confectioners' sugar ; 2 drops peppermint oil ; 1 drop any color food coloring paste","In a large bowl, combine cream cheese, butter, and confectioner's sugar. Mix in peppermint oil. Color as desired with food coloring paste, or leave white. Roll mixture into small balls, and place on waxed paper. Flatten with a fork dipped in confectioners' sugar. Let dry for about 2 hours on waxed paper, then freeze or refrigerate.",30 mins,,2 hrs 30 mins,16,8 dozen,112.4,22.6,22.0,2.6,1.6,7.8,0.4,,21.1,23.4,4.7,0.1,0.3,7.0,93.7,0.1,,0.7,,Middle East,1 (3 ounce); 1; 3; 2; 1,package; tablespoon; cups; no unit; no unit,"cream cheese, softened; butter, softened; confectioners' sugar; drops peppermint oil; drop any color food coloring paste"
Watermelon Ice Pops,"lunch,dinner","watermelon,water ,honey,lemon juice,white sugar","watermelon,water ,honey,lemon juice,white sugar",https://www.allrecipes.com/recipe/242400/watermelon-ice-pops/,desserts,Mama Alanna,"Cool and refreshing, with no artificial colors or flavors! If you don't have ice pop molds, you can use paper cups and wooden sticks.",4.91,11,9,"1 ½ cups watermelon, seeded and diced ; ½ cup water ; 1 tablespoon honey ; 1 tablespoon fresh lemon juice ; 1 tablespoon white sugar","Blend watermelon, water, honey, lemon juice, and sugar together in a blender until smooth. Pour mixture into ice pop molds and freeze until solid, about 2 hours. Run hot water over ice pop molds for a few seconds to unmold.",10 mins,,2 hrs 10 mins,6,6 ice pops,30.7,8.1,7.4,0.1,,,0.3,0.2,1.1,0.5,3.7,0.1,4.2,47.7,216.7,0.1,4.2,1.5,,Middle East,1 ½; ½; 1; 1; 1,cups; cup; tablespoon; tablespoon; tablespoon,"watermelon, seeded and diced; water; honey; fresh lemon juice; white sugar"
Gluten-Free Raspberry Lemon Cake,"lunch,dinner","flour,baking powder,baking soda ,honey,milk,yogurt ,egg whites,lemon juice,coconut oil,lemon,raspberries","cooking spray,flour,baking powder,baking soda,salt ,honey,milk,yogurt ,egg white,lemon juice,coconut oil,lemon,raspberries,lemon zested",https://www.allrecipes.com/recipe/258707/gluten-free-raspberry-lemon-cake/,desserts,Megan Olson,"Healthy raspberry lemon cake made with tart lemon juice, Greek yogurt, rings of sweet raspberries and no refined sugar! This elegant cake is the perfect balance of sweet and tart. A fancy dessert with no guilt!",5.0,1,1,"cooking spray ; 1 cup gluten-free all-purpose baking flour ; 1 teaspoon baking powder ; ½ teaspoon baking soda ; ½ teaspoon sea salt ; ½ cup honey ; ¼ cup unsweetened almond milk ; ¼ cup plain nonfat Greek yogurt ; 2  egg whites, at room temperature ; ¼ cup lemon juice ; 1 tablespoon coconut oil, melted ; 2 teaspoons lemon extract ; 2 cups fresh raspberries ; 1  lemon, zested","Preheat oven to 350 degrees F (175 degrees C). Lightly spray a 9-inch round cake pan with cooking spray. Sift gluten-free baking flour, baking powder, baking soda, and sea salt together in a bowl until well combined. Combine honey, almond milk, Greek yogurt, egg whites, lemon juice, coconut oil, and lemon extract in a large bowl. Stir to combine until no lumps remain. Gently stir in the flour mixture until batter is just combined. Pour batter into the prepared cake pan. Scatter raspberries over batter, gently pressing so they stay in place. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 35 minutes. Cool cake in the pan, about 20 minutes. Invert onto a serving plate. Sprinkle lemon zest on top.",15 mins,30 mins,1 hr 5 mins,8,1 9-inch cake,170.5,35.0,20.2,3.2,1.8,1.4,3.4,3.9,273.5,28.6,50.1,1.7,9.9,89.6,58.3,0.5,11.8,9.8,,Middle East,no quantity; 1; 1; ½; ½; ½; ¼; ¼; 2; ¼; 1; 2; 2; 1,no unit; cup; teaspoon; teaspoon; teaspoon; cup; cup; cup; no unit; cup; tablespoon; teaspoons; cups; no unit,"cooking spray; gluten-free all-purpose baking flour; baking powder; baking soda; sea salt; honey; unsweetened almond milk; plain nonfat Greek yogurt; egg whites, at room temperature; lemon juice; coconut oil, melted; lemon extract; fresh raspberries; lemon, zested"
Fruit Pizza II,"lunch,dinner","sugar cookie dough,cream cheese,whipped topping,strawberries,white sugar,salt,cornstarch,orange juice ,lemon juice,water,orange zest","sugar cookie dough,cream cheese,whipped topping,strawberries,white sugar,salt,cornstarch,orange juice ,lemon juice,water,orange zest",https://www.allrecipes.com/recipe/12618/fruit-pizza-ii/,desserts,Kay Craft,"A fruit covered cookie crust that is shaped like a pizza. Try using star fruit, peaches, bananas, kiwi, orange slices, blueberries, and pineapples.",4.81,486,343,"1 (18 ounce) package refrigerated sugar cookie dough ; 1 (8 ounce) package cream cheese, softened ; 1 (8 ounce) container frozen whipped topping, thawed ; 2 cups sliced fresh strawberries ; ½ cup white sugar ; 1 pinch salt ; 1 tablespoon cornstarch ; ½ cup orange juice ; 2 tablespoons lemon juice ; ¼ cup water ; ½ teaspoon orange zest","Preheat oven to 350 degrees F (175 degrees C). Slice cookie dough and arrange on greased pizza pan, overlapping edges. Press dough flat into pan. Bake for 10 to 12 minutes. Allow to cool. In a large bowl, soften cream cheese, then fold in the whipped topping. Spread over cooled crust. You can chill for a while at this point, or continue by arranging the fruit. Begin with strawberries, sliced in half. Arrange in a circle around the outside edge. Continue with fruit of your choice, working towards the middle. If bananas are used, dip them in lemon juice so they don't darken. Then make a sauce to spoon over fruit. In a saucepan, combine sugar, salt, corn starch, orange juice, lemon juice and water. Cook and stir over medium heat. Bring to a boil, and cook for 1 or 2 minutes, until thickened.  Remove from heat, and add grated orange rind. Allow to cool, but not set up. Spoon over fruit. Chill for two hours, then cut into wedges and serve.",30 mins,,30 mins,8,1 pizza pie,534.9,62.9,36.0,30.0,15.6,49.1,5.5,1.3,356.7,270.4,84.3,1.6,14.1,230.7,477.5,2.8,34.1,58.5,0.2,Middle East,1 (18 ounce); 1 (8 ounce); 1 (8 ounce); 2; ½; 1; 1; ½; 2; ¼; ½,package; package; no unit; cups; cup; pinch; tablespoon; cup; tablespoons; cup; teaspoon,"refrigerated sugar cookie dough; cream cheese, softened; container frozen whipped topping, thawed; sliced fresh strawberries; white sugar; salt; cornstarch; orange juice; lemon juice; water; orange zest"
Sugar-Free Date Cookies,"lunch,dinner","dates,pecans,water,banana,egg,butter,vanilla,flour,baking powder,cinnamon,salt","dates,pecans,water,banana,egg,butter,vanilla,flour,baking powder,cinnamon,salt",https://www.allrecipes.com/recipe/275260/sugar-free-date-cookies/,desserts,lutzflcat,"Enjoy the natural sweetness from the dates, the crunch from the pecans, the moisture from the banana, and the satisfaction that you're serving your family a healthier cookie.",5.0,2,1,"1 cup chopped dates ; ¼ cup chopped pecans ; ¼ cup water ; ½  very ripe banana, mashed ; 1 large egg, lightly beaten ; 2 tablespoons butter, melted ; ½ teaspoon vanilla extract ; 1 cup all-purpose flour ; 1 teaspoon baking powder ; 1 teaspoon cinnamon ; ¼ teaspoon salt","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. Combine the dates, pecans, water, banana, egg, butter, and vanilla extract in a bowl. Whisk flour, baking powder, cinnamon, and salt together in a separate bowl. Add to the date mixture and stir until well combined. Drop dough by tablespoonfuls about 1 inch apart onto the prepared baking sheet and flatten lightly with the palm of your hand. Bake in the preheated oven until cookies start to brown around the edges, being careful not to over-bake, for 11 to 13 minutes. Transfer cookies immediately to a wire rack to cool.",15 mins,15 mins,30 mins,18,18 cookies,82.6,13.9,6.8,2.8,1.0,13.7,1.5,1.3,72.9,24.9,24.4,0.6,9.1,95.2,57.3,0.9,0.3,16.9,0.1,Middle East,1; ¼; ¼; ½; 1; 2; ½; 1; 1; 1; ¼,cup; cup; cup; no unit; no unit; tablespoons; teaspoon; cup; teaspoon; teaspoon; teaspoon,"chopped dates; chopped pecans; water; very ripe banana, mashed; large egg, lightly beaten; butter, melted; vanilla extract; all-purpose flour; baking powder; cinnamon; salt"
Carrot Pie,"lunch,dinner","pie shell,sugar,carrots,eggs,cinnamon,vanilla,milk","pie shell,sugar,carrot,egg,cinnamon,vanilla,milk",https://www.allrecipes.com/recipe/53204/carrot-pie/,desserts,Laura,"Carrot Pie, with its sweet cinnamon taste, has been in my family for at least 5 generations. It's a must-have at our family Thanksgiving and Christmas get-togethers (but good any time!).",4.75,36,31,1 (9 inch) unbaked pie shell ; ¾ cup sugar ; 2 cups chopped carrots ; 2  eggs ; 1 teaspoon ground cinnamon ; 1 teaspoon vanilla extract ; ¾ cup milk,"Preheat the oven to 400 degrees F (200 degrees C). Press the pie crust into the bottom and up the sides of a 9-inch pie plate. Bake the pie shell for 3 to 5 minutes, just to firm it up, then remove from the oven, and set aside. Place carrots in a saucepan with enough water to cover. Bring to a boil, and cook until tender, about 10 minutes. Drain water, and mash carrots until smooth using a food processor, or potato ricer. In a medium bowl, mix together the carrot puree, sugar and eggs. Mix in the cinnamon and vanilla. Gradually stir in the milk. Pour the mixture into the partially baked pie shell. Bake for 10 minutes in the preheated oven, then reduce heat to 350 degrees F (175 degrees C). Bake for an additional 40 to 45 minutes at the lower temperature, or until firm. Cool completely before serving.",30 mins,55 mins,3 hrs 25 mins,8,8 Servings,231.6,33.7,21.6,9.2,2.5,48.3,4.0,1.9,166.9,83.2,49.7,1.0,11.2,174.8,5691.4,1.9,2.0,30.6,0.1,Middle East,1 (9 inch); ¾; 2; 2; 1; 1; ¾,no unit; cup; cups; no unit; teaspoon; teaspoon; cup,unbaked pie shell; sugar; chopped carrots; eggs; ground cinnamon; vanilla extract; milk
